experiment_name,dataset,examples_per_class,warmup_epochs,optimizer,seed,best_val_acc,final_val_acc,training_time_seconds,total_epochs,batch_size
cifar10_500epc_w5_sgd_s123,cifar10,500,5,sgd,123,76.11,76.04,222.63496661186218,85,256
cifar10_500epc_w5_sgd_s456,cifar10,500,5,sgd,456,74.61,74.48,223.9846432209015,85,256
cifar10_500epc_w10_sgd_s123,cifar10,500,10,sgd,123,77.0,76.89,225.8566918373108,85,256
cifar10_500epc_w10_sgd_s456,cifar10,500,10,sgd,456,77.2,76.98,226.24365139007568,85,256
cifar10_500epc_w20_sgd_s123,cifar10,500,20,sgd,123,77.35,77.17,224.37962913513184,85,256
cifar10_500epc_w20_sgd_s456,cifar10,500,20,sgd,456,77.34,77.3,224.04750037193298,85,256
cifar10_100epc_w0_sgd_s123,cifar10,100,0,sgd,123,42.57,42.28,159.76858234405518,85,256
cifar10_100epc_w0_sgd_s456,cifar10,100,0,sgd,456,39.02,38.84,159.62905168533325,85,256
cifar10_100epc_w1_sgd_s123,cifar10,100,1,sgd,123,39.31,39.31,161.25844168663025,85,256
cifar10_100epc_w1_sgd_s456,cifar10,100,1,sgd,456,34.91,34.71,162.7944576740265,85,256
cifar10_100epc_w5_sgd_s123,cifar10,100,5,sgd,123,48.73,48.16,156.45728087425232,85,256
cifar10_100epc_w5_sgd_s456,cifar10,100,5,sgd,456,46.86,46.64,161.16367292404175,85,256
cifar10_100epc_w10_sgd_s123,cifar10,100,10,sgd,123,50.79,50.7,159.32615065574646,85,256
cifar10_100epc_w10_sgd_s456,cifar10,100,10,sgd,456,48.85,48.62,158.2642252445221,85,256
cifar10_100epc_w20_sgd_s123,cifar10,100,20,sgd,123,51.56,51.4,158.46588850021362,85,256
cifar10_100epc_w20_sgd_s456,cifar10,100,20,sgd,456,50.32,50.1,158.72833013534546,85,256
cifar10_50epc_w0_sgd_s123,cifar10,50,0,sgd,123,35.02,34.61,150.82008504867554,85,256
cifar10_50epc_w0_sgd_s456,cifar10,50,0,sgd,456,36.11,35.92,149.88897109031677,85,256
cifar10_50epc_w1_sgd_s123,cifar10,50,1,sgd,123,34.12,33.56,149.41359996795654,85,256
cifar10_50epc_w1_sgd_s456,cifar10,50,1,sgd,456,27.64,27.44,148.52376222610474,85,256
cifar10_50epc_w5_sgd_s123,cifar10,50,5,sgd,123,41.38,41.28,147.2988519668579,85,256
cifar10_50epc_w5_sgd_s456,cifar10,50,5,sgd,456,34.3,33.29,150.2558913230896,85,256
cifar10_50epc_w10_sgd_s123,cifar10,50,10,sgd,123,41.91,41.88,151.6529598236084,85,256
cifar10_50epc_w10_sgd_s456,cifar10,50,10,sgd,456,36.41,36.41,151.59594249725342,85,256
cifar10_50epc_w20_sgd_s123,cifar10,50,20,sgd,123,42.1,42.1,151.8557767868042,85,256
cifar10_50epc_w20_sgd_s456,cifar10,50,20,sgd,456,40.88,40.86,150.79019808769226,85,256
cifar100_5000epc_w0_sgd_s42,cifar100,5000,0,sgd,42,76.88,76.74,993.6442339420319,85,256
cifar100_5000epc_w1_sgd_s42,cifar100,5000,1,sgd,42,76.57,76.51,989.6883969306946,85,256
cifar100_5000epc_w5_sgd_s42,cifar100,5000,5,sgd,42,76.33,76.19,991.6890959739685,85,256
cifar100_5000epc_w10_sgd_s42,cifar100,5000,10,sgd,42,76.75,76.67,999.3898644447327,85,256
cifar100_5000epc_w20_sgd_s42,cifar100,5000,20,sgd,42,76.03,75.84,993.0295872688293,85,256
cifar100_1000epc_w0_sgd_s42,cifar100,1000,0,sgd,42,76.88,76.74,998.0251755714417,85,256
cifar100_1000epc_w1_sgd_s42,cifar100,1000,1,sgd,42,76.57,76.51,995.6888809204102,85,256
cifar100_1000epc_w5_sgd_s42,cifar100,1000,5,sgd,42,76.33,76.19,993.9302799701691,85,256
cifar100_1000epc_w10_sgd_s42,cifar100,1000,10,sgd,42,76.75,76.67,1002.518693447113,85,256
cifar100_1000epc_w20_sgd_s42,cifar100,1000,20,sgd,42,76.03,75.84,996.5672175884247,85,256
cifar100_500epc_w0_sgd_s42,cifar100,500,0,sgd,42,76.35,76.22,999.9640176296234,85,256
cifar100_500epc_w1_sgd_s42,cifar100,500,1,sgd,42,76.01,75.97,997.9312145709991,85,256
cifar100_500epc_w5_sgd_s42,cifar100,500,5,sgd,42,76.96,76.92,1014.117616891861,85,256
cifar100_500epc_w10_sgd_s42,cifar100,500,10,sgd,42,76.34,76.24,995.2901768684387,85,256
cifar100_500epc_w20_sgd_s42,cifar100,500,20,sgd,42,76.83,76.79,1006.5797085762024,85,256
cifar100_100epc_w0_sgd_s42,cifar100,100,0,sgd,42,51.02,50.7,318.56490302085876,85,256
cifar100_100epc_w1_sgd_s42,cifar100,100,1,sgd,42,47.05,47.05,313.0763876438141,85,256
